Date,Open,High,Low,Close,Volume,Name
7/25/2006,75.99,76.41,75.31,75.89,5580300,IBM
7/26/2006,75.48,76.3,75.36,75.83,3870100,IBM
7/27/2006,75.83,77.29,75.75,76.15,6439100,IBM
7/28/2006,76.38,77.3,76.26,76.96,4165700,IBM
7/31/2006,76.44,77.5,76.15,77.41,5393000,IBM
8/1/2006,76.65,77.38,75.75,76.14,4406800,IBM
8/2/2006,76.21,76.93,76.2,76.32,3283800,IBM
8/3/2006,76,76.73,74.9,76.33,2765800,IBM
8/4/2006,76.65,76.77,75.32,75.91,5062400,IBM
8/7/2006,75.63,76.2,75.28,75.52,4034200,IBM
8/8/2006,75.63,76.26,75.11,75.33,3794700,IBM
8/9/2006,75.56,76.28,75.39,75.39,4480800,IBM
8/10/2006,75.2,76.08,75.05,75.74,3213600,IBM
8/11/2006,75.34,75.78,75.2,75.48,3696100,IBM
8/14/2006,76.05,77.49,75.6,76.68,4997400,IBM
8/15/2006,76.9,77.14,76.31,77.08,5985400,IBM
8/16/2006,77.48,79.28,77.35,79.09,7387200,IBM
8/17/2006,78.93,79.56,78.53,79.37,5602300,IBM
8/18/2006,79.38,79.97,78.63,79.9,5399700,IBM
8/21/2006,79.51,79.88,78.87,79.28,3676500,IBM
8/22/2006,79.28,79.55,78.61,78.95,4057200,IBM
8/23/2006,78.95,79.47,78.42,78.67,3428500,IBM
8/24/2006,78.9,79.5,78.87,79.38,3473300,IBM
8/25/2006,79.2,80,79.14,79.88,3428100,IBM
8/28/2006,79.91,80.47,79.76,80.32,5259400,IBM
8/29/2006,80.06,81.48,80.06,81.4,5208500,IBM
8/30/2006,81.26,81.68,80.84,81.22,4439000,IBM
8/31/2006,81.3,81.5,80.78,80.97,3786200,IBM
9/1/2006,81.13,81.57,80.81,81.41,3294000,IBM
9/5/2006,81.19,81.54,80.6,80.85,3968500,IBM
9/6/2006,80.29,80.69,80.17,80.28,3727600,IBM
9/7/2006,79.9,80.38,79.31,79.4,3913600,IBM
9/8/2006,79.6,80.86,79.35,80.66,4498600,IBM
9/11/2006,80.6,81.2,80.25,80.93,4316200,IBM
9/12/2006,81.14,82.5,81.06,82.28,5722200,IBM
9/13/2006,82.25,82.7,81.84,82.21,4980200,IBM
9/14/2006,81.9,83,81.74,82.47,4265300,IBM
9/15/2006,83.21,83.59,82.79,82.94,8203800,IBM
9/18/2006,82.56,83.21,82.17,82.24,4417600,IBM
9/19/2006,81.97,82.09,81.42,81.87,5088700,IBM
9/20/2006,82.37,83.79,82.2,83.42,7524600,IBM
9/21/2006,82.61,83.25,81.35,81.61,8909000,IBM
9/22/2006,81.75,82.12,81.01,81.21,4350200,IBM
9/25/2006,81.65,82.28,81.28,82,5685100,IBM
9/26/2006,81.9,82.66,81.7,82.5,4918000,IBM
9/27/2006,82,82.67,81.71,82.09,5881600,IBM
9/28/2006,81.85,82.35,81.72,81.99,4593200,IBM
9/29/2006,81.9,82.79,81.77,81.94,4770700,IBM
10/2/2006,81.76,82.47,81.58,81.87,4483300,IBM
10/3/2006,81.88,82.26,81.56,81.65,4838500,IBM
10/4/2006,81.65,83.25,81.63,83.1,6231900,IBM
10/5/2006,82.81,83.21,82.6,82.92,4956700,IBM
10/6/2006,82.93,83.78,82.5,83.14,5340900,IBM
10/9/2006,83.14,84.08,83,84,4490200,IBM
10/10/2006,83.71,84.63,83.56,84.19,4713500,IBM
10/11/2006,84.15,84.69,83.79,84.19,5210600,IBM
10/12/2006,84.2,84.9,84.1,84.7,4661700,IBM
10/13/2006,84.45,86.21,84.44,86.08,7788600,IBM
10/16/2006,86.08,87.6,85.75,86.71,8633700,IBM
10/17/2006,86.33,87.94,86.22,86.95,13338000,IBM
10/18/2006,90.51,92.04,89.73,89.82,27876400,IBM
10/19/2006,89.8,90.98,89.31,89.86,10676400,IBM
10/20/2006,90.04,90.7,89.55,90.48,7391600,IBM
10/23/2006,90.05,92,90.01,91.56,8862300,IBM
10/24/2006,90.91,91.95,90.8,91.49,9222500,IBM
10/25/2006,91.21,91.99,90.94,91.83,6122100,IBM
10/26/2006,91.83,91.93,91.25,91.54,4990300,IBM
10/27/2006,90.91,91.89,90.58,90.76,5840300,IBM
10/30/2006,89.8,92,89.8,91.5,5594100,IBM
10/31/2006,91.5,92.68,91.5,92.33,9267600,IBM
11/1/2006,92.5,92.68,91.5,91.8,5846200,IBM
11/2/2006,91.8,91.95,91.25,91.68,4895200,IBM
11/3/2006,91.76,92.34,91.18,91.41,4509200,IBM
11/6/2006,91.5,92.74,91.5,92.6,6240900,IBM
11/7/2006,92.42,93.4,92.41,92.75,7305200,IBM
11/8/2006,92.25,92.92,92.01,92.59,6022200,IBM
11/9/2006,92.59,93.19,92.37,92.42,4518900,IBM
11/10/2006,92.3,92.35,91.63,91.76,5369600,IBM
11/13/2006,91.55,92.43,91.41,92.07,4359400,IBM
11/14/2006,92,93.29,91.65,93.29,5873000,IBM
11/15/2006,93.08,93.28,92.54,93.11,4172800,IBM
11/16/2006,93.07,93.6,92.6,93.47,4171500,IBM
11/17/2006,93.42,94.05,93.31,93.81,5251000,IBM
11/20/2006,93.6,93.8,93.01,93.25,5010600,IBM
11/21/2006,93.01,93.43,92.85,93.08,3068900,IBM
11/22/2006,92.9,93.74,92.8,93.52,3351700,IBM
11/24/2006,93.05,93.75,92.98,93.35,2130600,IBM
11/27/2006,92.71,93.24,91.12,91.45,6284000,IBM
11/28/2006,90.65,91.57,90.43,91.35,4962500,IBM
11/29/2006,91.35,91.66,91.01,91.52,4623000,IBM
11/30/2006,91.35,92.48,91.25,91.92,6470700,IBM
12/1/2006,91.9,91.91,90.55,91.25,5446700,IBM
12/4/2006,92.5,93.95,92.25,93.51,7511500,IBM
12/5/2006,93.51,94.64,93.44,94.48,6886200,IBM
12/6/2006,94.48,94.87,94.01,94.12,5949700,IBM
12/7/2006,94,94.43,93.55,94.23,4310800,IBM
12/8/2006,93.65,94.39,93.47,93.86,4140700,IBM
12/11/2006,93.72,94.35,93.56,93.64,3459200,IBM
12/12/2006,93.6,94.85,93.3,94.12,7799300,IBM
12/13/2006,94.78,95.33,94.5,94.77,6441300,IBM
12/14/2006,94.97,95.72,94.54,95.36,4644200,IBM
12/15/2006,95.61,95.8,95.05,95.3,8086700,IBM
12/18/2006,94.95,96.16,94.8,95.44,7984900,IBM
12/19/2006,95.1,96.39,94.91,96,4933400,IBM
12/20/2006,96.1,96.5,95.7,96,3713200,IBM
12/21/2006,95.78,96.5,95.53,95.91,4406200,IBM
12/22/2006,95.75,95.98,95.24,95.25,3031500,IBM
12/26/2006,95,95.81,94.92,95.66,2278700,IBM
12/27/2006,96.3,97.23,96.27,97.2,4571800,IBM
12/28/2006,97.11,97.4,96.87,96.97,4501900,IBM
12/29/2006,97,97.88,96.83,97.15,4455900,IBM
1/3/2007,97.18,98.4,96.26,97.27,9199500,IBM
1/4/2007,97.25,98.79,96.88,98.31,10557200,IBM
1/5/2007,97.6,97.95,96.91,97.42,7222900,IBM
1/8/2007,98.5,99.5,98.35,98.9,10340100,IBM
1/9/2007,99.08,100.33,99.07,100.07,11108900,IBM
1/10/2007,98.5,99.05,97.93,98.89,8744900,IBM
1/11/2007,99,99.9,98.5,98.65,8000800,IBM
1/12/2007,98.99,99.69,98.5,99.34,6636600,IBM
1/16/2007,99.4,100.84,99.3,100.82,9602200,IBM
1/17/2007,100.69,100.9,99.9,100.02,8202100,IBM
1/18/2007,99.8,99.95,98.91,99.45,14725000,IBM
1/19/2007,95,96.85,94.55,96.17,26036800,IBM
1/22/2007,96.42,97.23,96.12,97.11,13540700,IBM
1/23/2007,96.91,97.38,96.2,97.08,10337400,IBM
1/24/2007,97.08,97.58,96.58,97.4,5700000,IBM
1/25/2007,97.22,97.92,97.22,97.51,6231300,IBM
1/26/2007,97.52,97.83,96.84,97.45,5771200,IBM
1/29/2007,97.7,98.66,97.45,98.54,7295000,IBM
1/30/2007,98.57,99.45,98.5,99.37,7178000,IBM
1/31/2007,98.8,99.48,98.35,99.15,6447300,IBM
2/1/2007,98.97,99.18,97.96,99,6612400,IBM
2/2/2007,99.1,99.73,98.88,99.17,6657000,IBM
2/5/2007,99.17,100.44,98.9,100.38,8309900,IBM
2/6/2007,100,100.4,99.54,99.85,6532800,IBM
2/7/2007,99.8,100.36,99.12,99.54,7698200,IBM
2/8/2007,98.9,99.74,98.65,99.62,6152300,IBM
2/9/2007,99.52,99.7,97.81,98.55,6101300,IBM
2/12/2007,98.8,99.2,98.22,98.58,5331043,IBM
2/13/2007,98.6,98.74,97.8,98.29,5703015,IBM
2/14/2007,98.5,99.43,98.25,99.2,5644733,IBM
2/15/2007,99.06,99.52,98.48,98.92,5568600,IBM
2/16/2007,99.12,99.25,98.63,98.99,4800700,IBM
2/20/2007,98.66,99.46,98.55,99.35,4124200,IBM
2/21/2007,99.35,99.37,98.7,99.09,4302400,IBM
2/22/2007,98.8,99.5,97.77,98.5,5902500,IBM
2/23/2007,98.4,98.44,97.41,97.73,6357000,IBM
2/26/2007,97.86,97.86,96.46,96.91,5923691,IBM
2/27/2007,96,96.01,92.88,93.96,12071500,IBM
2/28/2007,93.71,94.09,92.47,92.94,12191600,IBM
3/1/2007,90.25,93.05,88.77,92.27,12865732,IBM
3/2/2007,92,92.37,90.84,90.9,9451500,IBM
3/5/2007,90.25,92.15,90.1,91.81,10334713,IBM
3/6/2007,91.81,93.89,92.26,93.8,9184500,IBM
3/7/2007,93.8,94.85,93.62,93.94,10269300,IBM
3/8/2007,94.5,94.82,92.52,93,7404500,IBM
3/9/2007,93.48,94,92.82,93.28,6333100,IBM
3/12/2007,93.68,94.17,92.97,94.11,5531300,IBM
3/13/2007,93.86,94.47,92.62,92.71,7539100,IBM
3/14/2007,94.11,94.03,92.1,93.76,8714065,IBM
3/15/2007,93.4,93.97,93.1,93.45,5910149,IBM
3/16/2007,94.45,94.45,93.02,93.25,8733050,IBM
3/19/2007,93.95,94.32,93.39,93.99,4568062,IBM
3/20/2007,94,94.53,93.55,94.5,4560000,IBM
3/21/2007,94.5,95.81,93.83,95.36,7665695,IBM
3/22/2007,95.1,95.44,94.65,95.19,5993550,IBM
3/23/2007,94.82,95.22,94.65,95.03,4412483,IBM
3/26/2007,95,95.25,94.32,95,6729345,IBM
3/27/2007,94.71,95.03,94.2,94.73,4695800,IBM
3/28/2007,93.9,95.02,93.8,94.26,8128557,IBM
3/29/2007,94.66,95.11,93.96,94.57,6851600,IBM
3/30/2007,94.24,94.75,93.57,94.26,7638050,IBM
4/2/2007,94.26,95.5,94.06,95.21,5883700,IBM
4/3/2007,95.45,96.23,95.33,96.1,5730800,IBM
4/4/2007,95.8,96.45,95.57,96.21,4277725,IBM
4/5/2007,95.98,96.75,95.75,96.52,3307100,IBM
4/9/2007,96.43,96.94,96.12,96.62,4850581,IBM
4/10/2007,96.4,96.8,96.16,96.46,3596400,IBM
4/11/2007,96.51,96.7,94.95,95.16,5940774,IBM
4/12/2007,95.16,95.82,94.53,95.67,7085294,IBM
4/13/2007,95.75,95.75,94.59,94.93,6027883,IBM
4/16/2007,94.99,96.3,94.72,96.18,6865100,IBM
4/17/2007,96.3,97.66,96.02,97.12,10271833,IBM
4/18/2007,94.8,95.91,94.4,94.8,15871734,IBM
4/19/2007,94.5,94.87,94,94.29,9446948,IBM
4/20/2007,95.02,95.15,93.91,94.58,9340296,IBM
4/23/2007,95.16,95.73,95.05,95.21,7247500,IBM
4/24/2007,97.23,99.9,97.23,98.49,21494578,IBM
4/25/2007,98.74,101.7,98.73,101.46,14827675,IBM
4/26/2007,101,101.5,100.21,100.9,8615188,IBM
4/27/2007,100.3,101.17,100.06,101.17,6141359,IBM
4/30/2007,101.11,103,100.97,102.21,10050699,IBM
5/1/2007,102.06,103.17,102.05,103.17,8672146,IBM
5/2/2007,102.8,103.14,102.13,102.22,7045178,IBM
5/3/2007,101.75,103,101.35,102.8,7318750,IBM
5/4/2007,102.75,103.03,102.25,102.96,5469734,IBM
5/7/2007,102.76,103.17,102.4,103.16,5620878,IBM
5/8/2007,102.42,103.39,102.21,103.29,5972400,IBM
5/9/2007,103.93,104.75,103.7,104.38,8408086,IBM
5/10/2007,103.82,105.11,103.71,104.68,8959800,IBM
5/11/2007,104.69,105.99,104.67,105.98,6026250,IBM
5/14/2007,105.81,106.25,104.79,105.57,5732600,IBM
5/15/2007,105.4,105.8,104.7,104.83,6104300,IBM
5/16/2007,105.1,105.89,104.53,105.87,5613508,IBM
5/17/2007,105.61,106.23,104.73,105.31,7720700,IBM
5/18/2007,105.84,108.05,105.6,107.99,9857500,IBM
5/21/2007,107.67,108,106.87,107.04,7534802,IBM
5/22/2007,106.95,107.25,106.01,106.7,5314320,IBM
5/23/2007,106.8,107,105.25,105.58,4396825,IBM
5/24/2007,105.45,105.98,103.57,103.95,6927000,IBM
5/25/2007,103.9,105.43,103.85,105.18,6123000,IBM
5/29/2007,105.57,106.63,105.3,105.91,5420700,IBM
5/30/2007,105.4,107.1,105.21,106.93,7401100,IBM
5/31/2007,107.26,107.67,106,106.6,5106300,IBM
6/1/2007,106.6,107.24,106.02,106.54,5289190,IBM
6/4/2007,106.5,106.59,105.58,106.23,4573470,IBM
6/5/2007,106.55,106.55,105.54,105.84,5247000,IBM
6/6/2007,105.84,105.51,102.39,102.41,30774276,IBM
6/7/2007,102.46,103.17,101.56,101.8,14389421,IBM
6/8/2007,101.8,103.21,101.75,103.07,8223300,IBM
6/11/2007,102.87,104,102.5,103.22,7903004,IBM
6/12/2007,103.11,103.18,102.15,102.34,5578530,IBM
6/13/2007,102.85,103.26,102.1,103.12,6438338,IBM
6/14/2007,103.1,104.24,102.81,103.85,5166300,IBM
6/15/2007,104.22,105.19,103.88,105.09,9432708,IBM
6/18/2007,105.27,105.65,104.89,105.33,6373424,IBM
6/19/2007,104.93,106.66,104.9,106.5,5768300,IBM
6/20/2007,106.5,107.02,105.95,106,6542010,IBM
6/21/2007,105.77,107,105.61,106.6,5587800,IBM
6/22/2007,105.96,106.44,104.44,104.44,10822600,IBM
6/25/2007,104.73,105.77,104.5,105.1,8477800,IBM
6/26/2007,105.1,106.06,104.82,105.33,5229600,IBM
6/27/2007,104.75,105.47,104.4,105.43,5403900,IBM
6/28/2007,105.52,106.92,105.22,105.95,5430900,IBM
6/29/2007,105.96,106.58,104.1,105.25,7018355,IBM
7/2/2007,105.39,105.8,104.58,105.01,4702454,IBM
7/3/2007,105.01,107.08,105.24,106.58,4220100,IBM
7/5/2007,106.31,108.39,105.98,108.05,6671400,IBM
7/6/2007,107.79,109.66,107.66,109.03,8977138,IBM
7/9/2007,108.73,109.35,108.2,108.97,6046268,IBM
7/10/2007,108.55,109.15,108.25,108.63,6209300,IBM
7/11/2007,108.3,109.6,108.25,109.1,5889600,IBM
7/12/2007,109.35,109.65,108.22,109.28,9544093,IBM
7/13/2007,108.75,109.2,108.1,108.6,7124067,IBM
7/16/2007,108.57,110.04,108.42,109.66,8866296,IBM
7/17/2007,109.66,111.47,109.45,110.77,7619829,IBM
7/18/2007,110.25,111.88,110.04,111.08,10154029,IBM
7/19/2007,115,116.48,114.65,115.86,17284009,IBM
7/20/2007,114.85,115.86,113.94,114.81,11706300,IBM
7/23/2007,114.88,116.43,114.85,116.38,8043200,IBM
7/24/2007,115.32,117,115.02,116.17,10499791,IBM
7/25/2007,116.19,118.38,115.24,118.1,11342618,IBM
7/26/2007,117.01,118.82,115.52,116.53,16880753,IBM
7/27/2007,116.62,117.95,115.62,115.62,18138635,IBM
7/30/2007,115,115.75,113.52,114.52,15096604,IBM
7/31/2007,114.72,114.72,110.02,110.65,17816454,IBM
8/1/2007,110.39,112.73,110.06,112.04,12390245,IBM
8/2/2007,112.1,114.05,111.5,113.23,11322857,IBM
8/3/2007,113.24,114.18,111.7,111.89,9571245,IBM
8/6/2007,111.97,113.89,111.7,113.89,7245595,IBM
8/7/2007,113.02,114.17,112.25,113.53,8022621,IBM
8/8/2007,114.3,114.6,112.26,112.98,7681519,IBM
8/9/2007,110.77,114.49,110.73,110.73,9086785,IBM
8/10/2007,109.75,113.5,109.7,112.64,9592142,IBM
8/13/2007,112.99,113.95,112.31,112.71,6135600,IBM
8/14/2007,112.83,113.15,111.74,112.05,5615443,IBM
8/15/2007,111,112.85,109.91,111.23,11640523,IBM
8/16/2007,111.23,111.42,103.7,109.69,16723398,IBM
8/17/2007,111.87,112.67,108.66,110.9,15277058,IBM
8/20/2007,110.9,111.1,109.13,109.22,9840612,IBM
8/21/2007,108.9,110.11,108.08,109.04,8458500,IBM
8/22/2007,110.09,110.5,109.15,110,6330400,IBM
8/23/2007,110.4,111.68,110.01,111.45,8271000,IBM
8/24/2007,111.45,113.25,110.81,113.24,7058700,IBM
8/27/2007,113,113.85,112.8,113.44,4921802,IBM
8/28/2007,112.9,113.59,111.63,112,6006667,IBM
8/29/2007,112.88,114.98,112.07,114.57,7050800,IBM
8/30/2007,114.57,116,113.62,115.37,7756100,IBM
8/31/2007,115.99,117.35,115.55,116.69,6884700,IBM
9/4/2007,116.34,118.89,116.15,118.19,8071653,IBM
9/5/2007,117.48,118.15,116.55,117.88,6555500,IBM
9/6/2007,117.88,118.75,116.24,117.62,6778614,IBM
9/7/2007,116.2,116.97,115.33,115.55,7511650,IBM
9/10/2007,116.15,117.5,115.32,115.8,6120700,IBM
9/11/2007,116.35,117.78,116.04,117.35,8098700,IBM
9/12/2007,116.95,117.4,115.69,116,6289315,IBM
9/13/2007,116.3,117,115.74,115.95,4802729,IBM
9/14/2007,115.05,116,114.65,115.13,6904373,IBM
9/17/2007,114.7,115.25,114.3,114.52,5022334,IBM
9/18/2007,115,116.78,114.83,116.63,7839600,IBM
9/19/2007,116.9,117.19,115.78,116.67,10311134,IBM
9/20/2007,116.27,117.65,116.2,116.86,5807863,IBM
9/21/2007,117.89,118.1,116.35,116.78,9097300,IBM
9/24/2007,116.9,117.43,115.85,116.25,5734283,IBM
9/25/2007,116.02,117.59,115.79,116.51,7045116,IBM
9/26/2007,116.94,118.08,116.75,117.3,6695800,IBM
9/27/2007,117.5,118.21,117.04,117.71,5836800,IBM
9/28/2007,117.14,118.5,117.1,117.8,7720200,IBM
10/1/2007,117.61,119.5,117.5,119.03,6778700,IBM
10/2/2007,119.31,119.6,118.14,118.36,6912187,IBM
10/3/2007,117.65,117.84,116.28,116.4,7916471,IBM
10/4/2007,116.2,116.75,115,115.69,6178181,IBM
10/5/2007,116.17,116.71,115.47,116.3,5749327,IBM
10/8/2007,116.1,118.23,115.88,117.77,4823300,IBM
10/9/2007,117.85,118.5,116.42,118.3,5670591,IBM
10/10/2007,118,118.8,117.68,118.62,5913800,IBM
10/11/2007,118.99,121.46,117.37,118.05,13018900,IBM
10/12/2007,118.5,118.89,117.28,117.81,5657396,IBM
10/15/2007,117.95,118.37,116.75,118.03,6271899,IBM
10/16/2007,118.02,119.94,117.5,119.6,11527300,IBM
10/17/2007,118.01,118.01,114.15,115.78,18100500,IBM
10/18/2007,114.82,116.41,114.44,114.8,7737110,IBM
10/19/2007,113.98,114.93,111.8,112.28,10327810,IBM
